song_id,title_zh_display,title_en_authoritative,formation_theme,suggested_use,source_stage,copyright_status,discernment_status
S-0001,奇异恩典,Amazing Grace,恩典与救恩,福音／恩典,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0002,我灵镇静,"Be Still, My Soul",信靠与安慰,患难／信靠,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0003,耶稣呼召,Jesus Calls Us,呼召与跟随,门徒／呼召,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0004,普世欢腾,Joy to the World,基督降生与喜乐,圣诞／基督,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0005,一切全献上,I Surrender All,奉献与降服,奉献／顺服,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0006,圣哉，圣哉，圣哉,"Holy, Holy, Holy! Lord God Almighty",神的圣洁与三一,神属性／敬拜,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0007,荣耀归于真神,To God Be the Glory,神的荣耀与救恩,敬拜／救恩,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0008,拥戴我主为王,Crown Him with Many Crowns,基督为王,基督论／敬拜,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0009,你真伟大,How Great Thou Art,神的伟大与创造,创造／敬拜,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0010,你的信实广大,Great Is Thy Faithfulness,神的信实,信靠／敬拜,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0011,坚固保障,A Mighty Fortress Is Our God,神的保障,信靠／试炼,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0012,十字架前,At the Cross,十字架与赦罪,十架／福音,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0013,古旧十架,The Old Rugged Cross,十字架与救赎,十架／救赎,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0014,耶稣十字架下,Beneath the Cross of Jesus,十架与避难,十架／信靠,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0015,奇妙十架,When I Survey the Wondrous Cross,十架与舍己,十架／门徒,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0016,领我到骷髅地,Lead Me to Calvary,受难与记念基督,受难／十架,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0017,宝血活泉,There Is a Fountain Filled with Blood,洁净与赦罪,救恩／悔改,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0018,耶稣奇妙的救恩,Wonderful Grace of Jesus,恩典与救恩,福音／恩典,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0019,主活着,He Lives,复活与盼望,复活／福音,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0020,基督今复活,Christ the Lord Is Risen Today,复活与得胜,复活／敬拜,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0021,转眼仰望耶稣,Turn Your Eyes upon Jesus,仰望基督,门徒／信靠,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0022,最美丽耶稣,Fairest Lord Jesus,基督的美善,基督论／敬拜,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0023,恳求主像牧人领导,"Saviour, Like a Shepherd Lead Us",牧养与引导,门训／牧养,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0024,主凡事引导我,All the Way My Saviour Leads Me,神的带领,信靠／跟随,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0025,耶稣领我,He Leadeth Me,引导与顺服,门徒／顺服,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0026,向高处行,Higher Ground,成长与追求,成长／门训,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0027,更亲近我主,"Nearer, Still Nearer",亲近基督,灵修／门训,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0028,更像我恩主,More Like the Master,效法基督,成圣／门训,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0029,主我愿像你,O to Be Like Thee!,效法基督,成圣／门训,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0030,成圣须用功夫,Take Time to Be Holy,成圣与操练,成圣／门训,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0031,今要主自己,Himself,以基督为中心,基督中心／门训,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0032,爱主更深,More Love to Thee,爱主与委身,爱主／门训,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0033,为耶稣而活,Living for Jesus,为基督而活,门徒／使命,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0034,教会独一的根基,The Church's One Foundation,教会与基督,教会论,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0035,圣徒相通,Blest Be the Tie That Binds,彼此相爱与合一,教会／群体,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0036,耶稣恩友,What a Friend We Have in Jesus,祷告与亲近基督,祷告／信靠,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0037,祷告良辰,Sweet Hour of Prayer,祷告,祷告／灵修,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0038,我心灵得安宁,It Is Well with My Soul,患难中的平安,安慰／信靠,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0039,有福的确据,Blessed Assurance,救恩确据,救恩／确据,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0040,藉我赐恩福,Make Me a Blessing,祝福别人,使命／邻舍,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0041,岂可空手回天家,"Must I Go, and Empty-Handed?",忠心与结果子,使命／事奉,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0042,拯救失丧者,Rescue the Perishing,寻找失丧者,宣教／福音,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0043,向万邦传福音,We've a Story to Tell to the Nations,万邦与宣教,宣教／使命,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0044,喜爱述说耶稣,I Love to Tell the Story,见证与传扬,宣教／见证,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
S-0045,兴起为耶稣,"Stand Up, Stand Up for Jesus",忠心与见证,门徒／使命,existing,SOURCE_REQUIRED,NOT_YET_ASSESSED
